time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.179440,-0.114070,1.650880,235.530780,-352.028080,2215158.000000,1.000000
0.002000,0.179440,-0.114070,1.753420,235.530780,-352.028230,2215183.250000,
0.004000,0.176880,-0.116640,2.009770,235.530780,-352.028320,2215208.500000,
0.006000,0.176880,-0.117920,1.784180,235.530780,-352.028410,2215233.750000,
0.008000,0.175600,-0.121770,2.020020,235.530780,-352.028530,2215259.250000,1.000000
0.010000,0.176880,-0.123050,1.876460,235.530780,-352.028660,2215284.250000,
0.012000,0.176880,-0.124330,1.804690,235.530780,-352.028810,2215309.750000,
0.014000,0.176880,-0.125610,1.927730,235.530750,-352.028930,2215335.000000,
0.016000,0.178160,-0.129460,1.937990,235.530750,-352.029050,2215360.250000,1.000000
0.018000,0.179440,-0.130740,2.009770,235.530750,-352.029170,2215385.500000,
0.020000,0.182010,-0.103820,1.691890,235.530750,-352.029270,2215411.000000,
0.022000,0.182010,0.275570,1.855960,235.531300,-352.029360,2215436.000000,
0.024000,0.182010,0.325560,1.671390,235.532700,-352.029390,2215461.500000,1.000000
0.026000,0.182010,0.326840,1.927730,235.534350,-352.029420,2215486.750000,
0.028000,0.184570,0.439640,1.855960,235.535950,-352.029450,2215512.000000,
0.030000,0.185850,0.583190,1.773930,235.537860,-352.029450,2215537.250000,
0.032000,0.184570,0.683170,1.917480,235.540450,-352.029510,2215562.750000,1.000000
0.034000,0.185850,0.779300,1.999510,235.543870,-352.029540,2215587.750000,
0.036000,0.184570,0.894650,2.122560,235.548220,-352.029600,2215613.250000,
0.038000,0.184570,1.040770,2.050780,235.553620,-352.029600,2215638.500000,
0.040000,0.184570,1.204830,2.081540,235.560350,-352.029600,2215663.750000,1.000000
0.042000,0.184570,1.368900,1.968750,235.568650,-352.029600,2215689.250000,
0.044000,0.184570,1.503480,1.896970,235.578800,-352.029630,2215714.500000,
0.046000,0.184570,1.613710,1.825200,235.590970,-352.029660,2215739.750000,
0.048000,0.182010,1.694460,1.538090,235.605220,-352.029660,2215765.000000,1.000000
0.050000,0.182010,1.754700,1.968750,235.621640,-352.029690,2215790.500000,
0.052000,0.180730,1.793150,1.886720,235.640150,-352.029750,2215815.500000,
0.054000,0.180730,1.800840,2.061040,235.660780,-352.029790,2215841.000000,
0.056000,0.180730,1.766240,1.763670,235.683350,-352.029790,2215866.250000,1.000000
0.058000,0.179440,1.693180,1.650880,235.707790,-352.029790,2215891.500000,
0.060000,0.179440,1.597050,1.732910,235.733870,-352.029790,2215916.750000,
0.062000,0.179440,1.491940,1.691890,235.761310,-352.029790,2215942.250000,
0.064000,0.178160,1.376590,2.153320,235.789900,-352.029790,2215967.250000,1.000000
0.066000,0.176880,1.272770,2.050780,235.819400,-352.029790,2215992.750000,
0.068000,0.178160,1.175350,2.194340,235.849590,-352.029790,2216018.000000,
0.070000,0.179440,1.080510,1.845700,235.880290,-352.029790,2216043.250000,
0.072000,0.178160,0.989500,1.671390,235.911350,-352.029790,2216068.500000,1.000000
0.074000,0.178160,0.910030,1.763670,235.942600,-352.029790,2216094.000000,
0.076000,0.178160,0.831850,1.650880,235.973910,-352.029790,2216119.000000,
0.078000,0.175600,0.765200,2.061040,236.005170,-352.029750,2216144.500000,
0.080000,0.176880,0.702390,1.794430,236.036350,-352.029750,2216169.750000,1.000000
0.082000,0.176880,0.658810,1.937990,236.067440,-352.029750,2216195.000000,
0.084000,0.176880,0.620360,1.681640,236.098420,-352.029750,2216220.250000,
0.086000,0.176880,0.580630,1.620120,236.129430,-352.029750,2216245.750000,
0.088000,0.174320,0.538330,1.845700,236.160450,-352.029750,2216270.750000,1.000000
0.090000,0.176880,0.508850,1.989260,236.191420,-352.029720,2216296.250000,
0.092000,0.175600,0.484500,2.296880,236.222380,-352.029720,2216321.500000,
0.094000,0.176880,0.466550,2.122560,236.253330,-352.029720,2216346.750000,
0.096000,0.176880,0.430660,1.958500,236.284300,-352.029720,2216372.000000,1.000000
0.098000,0.178160,0.389650,1.691890,236.315350,-352.029720,2216397.500000,
0.100000,0.178160,0.366580,1.907230,236.346330,-352.029690,2216422.500000,
0.102000,0.178160,0.365300,2.061040,236.377230,-352.029690,2216448.000000,
0.104000,0.176880,0.383240,1.917480,236.408020,-352.029690,2216473.250000,1.000000
0.106000,0.176880,0.417850,2.122560,236.438710,-352.029690,2216498.500000,
0.108000,0.175600,0.448610,1.507320,236.469380,-352.029690,2216524.000000,
0.110000,0.175600,0.467830,1.640630,236.500120,-352.029690,2216549.250000,
0.112000,0.175600,0.474240,1.517580,236.531010,-352.029660,2216574.500000,1.000000
0.114000,0.175600,0.469120,1.589360,236.562000,-352.029660,2216599.750000,
0.116000,0.174320,0.474240,1.979000,236.593120,-352.029660,2216625.250000,
0.118000,0.175600,0.499880,2.050780,236.624270,-352.029660,2216650.250000,
0.120000,0.174320,0.531920,2.071290,236.655460,-352.029660,2216675.750000,1.000000
0.122000,0.174320,0.557560,1.743160,236.686710,-352.029660,2216701.000000,
0.124000,0.174320,0.583190,1.886720,236.718020,-352.029660,2216726.250000,
0.126000,0.171750,0.604980,1.527830,236.749420,-352.029660,2216751.500000,
0.128000,0.170470,0.637020,2.009770,236.780810,-352.029660,2216777.000000,1.000000
0.130000,0.170470,0.684450,2.061040,236.812120,-352.029660,2216802.000000,
0.132000,0.170470,0.737000,2.091800,236.843480,-352.029630,2216827.500000,
0.134000,0.167910,0.781860,1.814940,236.874830,-352.029630,2216852.750000,
0.136000,0.166630,0.815190,1.538090,236.906280,-352.029630,2216878.000000,1.000000
0.138000,0.164060,0.817750,1.589360,236.937880,-352.029630,2216903.250000,
0.140000,0.164060,0.808780,1.702150,236.969620,-352.029600,2216928.750000,
0.142000,0.164060,0.794680,1.917480,237.001450,-352.029600,2216953.750000,
0.144000,0.164060,0.790830,1.630370,237.033330,-352.029600,2216979.250000,1.000000
0.146000,0.161500,0.769040,1.968750,237.065250,-352.029600,2217004.500000,
0.148000,0.162780,0.721620,2.020020,237.097320,-352.029600,2217029.750000,
0.150000,0.162780,0.679320,1.753420,237.129430,-352.029600,2217055.000000,
0.152000,0.161500,0.656250,2.132810,237.161420,-352.029570,2217080.500000,1.000000
0.154000,0.161500,0.660100,1.948240,237.193300,-352.029540,2217105.500000,
0.156000,0.164060,0.672910,1.968750,237.225080,-352.029540,2217131.000000,
0.158000,0.161500,0.683170,1.814940,237.256770,-352.029540,2217156.250000,
0.160000,0.164060,0.681880,1.968750,237.288420,-352.029510,2217181.500000,1.000000
0.162000,0.164060,0.671630,1.579100,237.320070,-352.029510,2217206.750000,
0.164000,0.164060,0.648560,1.763670,237.351780,-352.029510,2217232.250000,
0.166000,0.164060,0.619080,1.968750,237.383470,-352.029510,2217257.250000,
0.168000,0.166630,0.604980,2.009770,237.415150,-352.029510,2217282.750000,1.000000
0.170000,0.167910,0.604980,1.794430,237.446730,-352.029510,2217308.250000,
0.172000,0.167910,0.594730,1.435550,237.478330,-352.029510,2217333.250000,
0.174000,0.170470,0.567810,1.835450,237.509920,-352.029510,2217358.750000,
0.176000,0.173030,0.521670,2.020020,237.541600,-352.029480,2217384.000000,1.000000
0.178000,0.171750,0.481930,1.927730,237.573270,-352.029480,2217409.250000,
0.180000,0.174320,0.451170,2.194340,237.604920,-352.029480,2217434.500000,
0.182000,0.175600,0.438350,1.999510,237.636470,-352.029450,2217460.000000,
0.184000,0.176880,0.443480,1.907230,237.667950,-352.029450,2217485.000000,1.000000
0.186000,0.176880,0.452450,1.507320,237.699360,-352.029450,2217510.500000,
0.188000,0.179440,0.453740,1.866210,237.730740,-352.029450,2217535.750000,
0.190000,0.179440,0.449890,1.814940,237.762180,-352.029420,2217561.000000,
0.192000,0.179440,0.444760,1.794430,237.793580,-352.029420,2217586.250000,1.000000
0.194000,0.179440,0.457580,1.968750,237.824950,-352.029420,2217611.750000,
0.196000,0.182010,0.484500,1.999510,237.856280,-352.029420,2217636.750000,
0.198000,0.179440,0.513980,1.722660,237.887570,-352.029420,2217662.250000,
0.200000,0.182010,0.540890,1.538090,237.918870,-352.029420,2217687.500000,1.000000
0.202000,0.179440,0.575500,1.855960,237.950180,-352.029420,2217712.750000,
0.204000,0.179440,0.613950,2.040530,237.981480,-352.029390,2217738.000000,
0.206000,0.178160,0.657530,2.143070,238.012770,-352.029390,2217763.500000,
0.208000,0.178160,0.689580,2.143070,238.044140,-352.029390,2217788.500000,1.000000
0.210000,0.178160,0.719060,1.989260,238.075610,-352.029390,2217814.000000,
0.212000,0.174320,0.726750,1.845700,238.107150,-352.029390,2217839.250000,
0.214000,0.173030,0.711360,1.927730,238.138820,-352.029390,2217864.500000,
0.216000,0.170470,0.687010,2.009770,238.170620,-352.029390,2217889.750000,1.000000
0.218000,0.169190,0.671630,1.927730,238.202470,-352.029390,2217915.250000,
0.220000,0.169190,0.678040,2.040530,238.234270,-352.029360,2217940.500000,
0.222000,0.167910,0.689580,1.609860,238.266050,-352.029360,2217965.750000,
0.224000,0.167910,0.684450,1.681640,238.297880,-352.029360,2217991.000000,1.000000
0.226000,0.166630,0.666500,1.712400,238.329730,-352.029360,2218016.250000,
0.228000,0.162780,0.656250,1.650880,238.361570,-352.029360,2218041.750000,
0.230000,0.165340,0.654970,1.948240,238.393330,-352.029360,2218067.000000,
0.232000,0.164060,0.663940,1.999510,238.425050,-352.029330,2218092.250000,1.000000
0.234000,0.164060,0.678040,2.102050,238.456680,-352.029330,2218117.500000,
0.236000,0.164060,0.695980,1.855960,238.488280,-352.029300,2218143.000000,
0.238000,0.162780,0.708800,1.907230,238.519820,-352.029300,2218168.000000,
0.240000,0.164060,0.711360,1.558590,238.551380,-352.029300,2218193.500000,1.000000
0.242000,0.162780,0.694700,1.794430,238.582990,-352.029300,2218218.750000,
0.244000,0.164060,0.672910,2.102050,238.614700,-352.029300,2218244.000000,
0.246000,0.164060,0.647280,1.866210,238.646450,-352.029270,2218269.250000,
0.248000,0.165340,0.611390,1.866210,238.678250,-352.029270,2218294.750000,1.000000
0.250000,0.166630,0.578060,1.497070,238.710100,-352.029270,2218319.750000,
0.252000,0.166630,0.552430,1.507320,238.741900,-352.029270,2218345.250000,
0.254000,0.167910,0.533200,1.732910,238.773680,-352.029240,2218370.500000,
0.256000,0.167910,0.521670,1.702150,238.805400,-352.029240,2218395.750000,1.000000
0.258000,0.169190,0.513980,1.835450,238.837050,-352.029240,2218421.000000,
0.260000,0.169190,0.517820,1.948240,238.868620,-352.029240,2218446.500000,
0.262000,0.171750,0.533200,2.235350,238.900070,-352.029240,2218471.750000,
0.264000,0.171750,0.552430,1.630370,238.931470,-352.029240,2218497.000000,1.000000
0.266000,0.170470,0.560120,1.825200,238.962880,-352.029240,2218522.250000,
0.268000,0.170470,0.567810,1.896970,238.994230,-352.029240,2218547.500000,
0.270000,0.170470,0.589600,1.876460,239.025570,-352.029210,2218572.750000,
0.272000,0.170470,0.612670,2.245610,239.056870,-352.029210,2218598.250000,1.000000
0.274000,0.171750,0.631900,1.743160,239.088260,-352.029210,2218623.500000,
0.276000,0.170470,0.624210,1.804690,239.119720,-352.029210,2218648.750000,
0.278000,0.169190,0.608830,1.609860,239.151310,-352.029210,2218674.000000,
0.280000,0.169190,0.590880,1.743160,239.182920,-352.029210,2218699.250000,1.000000
0.282000,0.169190,0.576780,2.081540,239.214600,-352.029210,2218724.500000,
0.284000,0.169190,0.576780,1.845700,239.246250,-352.029210,2218750.000000,
0.286000,0.169190,0.588320,1.794430,239.277850,-352.029170,2218775.250000,
0.288000,0.167910,0.615230,1.589360,239.309400,-352.029170,2218800.500000,1.000000
0.290000,0.169190,0.643430,1.937990,239.340900,-352.029170,2218825.750000,
0.292000,0.166630,0.661380,1.917480,239.372420,-352.029170,2218851.000000,
0.294000,0.165340,0.672910,1.999510,239.403950,-352.029140,2218876.500000,
0.296000,0.165340,0.680600,2.102050,239.435550,-352.029140,2218901.750000,1.000000
0.298000,0.166630,0.684450,1.927730,239.467180,-352.029140,2218927.000000,
0.300000,0.166630,0.684450,1.804690,239.498870,-352.029140,2218952.250000,
0.302000,0.165340,0.683170,1.497070,239.530550,-352.029140,2218977.750000,
0.304000,0.165340,0.688290,1.620120,239.562260,-352.029140,2219003.000000,1.000000
0.306000,0.164060,0.685730,1.599610,239.593950,-352.029140,2219028.250000,
0.308000,0.165340,0.679320,1.948240,239.625700,-352.029140,2219053.500000,
0.310000,0.166630,0.670350,2.040530,239.657460,-352.029110,2219078.750000,
0.312000,0.166630,0.657530,1.763670,239.689250,-352.029110,2219104.000000,1.000000
0.314000,0.166630,0.644710,1.517580,239.721020,-352.029110,2219129.500000,
0.316000,0.167910,0.638310,1.589360,239.752810,-352.029110,2219154.750000,
0.318000,0.169190,0.630620,2.009770,239.784530,-352.029110,2219180.000000,
0.320000,0.171750,0.640870,1.989260,239.816180,-352.029110,2219205.250000,1.000000
0.322000,0.171750,0.660100,2.245610,239.847780,-352.029110,2219230.500000,
0.324000,0.171750,0.657530,1.948240,239.879460,-352.029110,2219255.750000,
0.326000,0.174320,0.637020,1.989260,239.911150,-352.029080,2219281.250000,
0.328000,0.175600,0.625490,1.804690,239.942870,-352.029080,2219306.500000,1.000000
0.330000,0.176880,0.612670,1.794430,239.974620,-352.029080,2219331.750000,
0.332000,0.176880,0.602420,1.979000,240.006330,-352.029080,2219357.000000,
0.334000,0.178160,0.603700,2.030270,240.037990,-352.029080,2219382.250000,
0.336000,0.176880,0.593440,1.773930,240.069670,-352.029080,2219407.500000,1.000000
0.338000,0.178160,0.590880,1.681640,240.101300,-352.029080,2219433.000000,
0.340000,0.180730,0.596010,1.794430,240.132870,-352.029050,2219458.250000,
0.342000,0.179440,0.596010,1.702150,240.164440,-352.029050,2219483.500000,
0.344000,0.180730,0.599850,1.794430,240.195970,-352.029050,2219508.750000,1.000000
0.346000,0.178160,0.599850,2.512210,240.227490,-352.029020,2219534.250000,
0.348000,0.176880,0.594730,1.948240,240.259050,-352.029020,2219559.250000,
0.350000,0.179440,0.578060,2.061040,240.290680,-352.029020,2219584.750000,
0.352000,0.179440,0.566530,1.732910,240.322330,-352.029020,2219610.000000,1.000000
0.354000,0.179440,0.567810,1.671390,240.353970,-352.029020,2219635.250000,
0.356000,0.176880,0.571660,2.071290,240.385600,-352.028990,2219660.500000,
0.358000,0.175600,0.567810,1.958500,240.417280,-352.028990,2219686.000000,
0.360000,0.178160,0.553710,2.327640,240.448940,-352.029020,2219711.000000,1.000000
0.362000,0.188420,0.561400,2.040530,240.480580,-352.029050,2219736.500000,
0.364000,0.205080,0.606260,1.876460,240.512020,-352.028990,2219761.750000,
0.366000,0.174320,0.646000,1.548340,240.543460,-352.028930,2219787.000000,
0.368000,0.184570,0.662660,1.835450,240.574920,-352.028960,2219812.500000,1.000000
0.370000,0.182010,0.679320,2.501950,240.606510,-352.028960,2219837.750000,
0.372000,0.215330,0.715210,2.553220,240.637850,-352.029050,2219863.000000,
0.374000,0.239690,0.792110,2.440430,240.669050,-352.028900,2219888.250000,
0.376000,0.223020,0.794680,2.286620,240.700550,-352.028840,2219913.500000,1.000000
0.378000,0.217900,0.722900,1.989260,240.732420,-352.028870,2219938.750000,
0.380000,0.189700,0.653690,2.778810,240.764450,-352.028870,2219964.000000,
0.382000,0.280700,0.675480,3.096680,240.796280,-352.028990,2219989.500000,
0.384000,0.329410,0.699830,2.594240,240.827960,-352.028960,2220014.500000,1.000000
0.386000,0.279420,0.713930,2.594240,240.859680,-352.028810,2220040.000000,
0.388000,0.255070,0.634460,2.460940,240.891800,-352.028780,2220065.250000,
0.390000,0.214050,0.602420,3.014650,240.923840,-352.028960,2220090.500000,
0.392000,0.329410,0.630620,2.799320,240.955520,-352.028900,2220115.750000,1.000000
0.394000,0.376830,0.724180,2.194340,240.986970,-352.028660,2220141.250000,
0.396000,0.297360,0.694700,2.460940,241.018630,-352.028750,2220166.250000,
0.398000,0.244810,0.648560,2.676270,241.050450,-352.028840,2220191.750000,
0.400000,0.285830,0.710080,3.414550,241.082080,-352.028990,2220217.000000,1.000000
0.402000,0.398620,0.707520,2.471190,241.113450,-352.028690,2220242.250000,
0.404000,0.375550,0.788270,2.460940,241.144740,-352.028720,2220267.500000,
0.406000,0.321720,0.745970,2.214840,241.176470,-352.028750,2220293.000000,
0.408000,0.278140,0.643430,3.035160,241.208530,-352.028870,2220318.000000,1.000000
0.410000,0.293520,0.667790,3.999020,241.240280,-352.029170,2220343.250000,
0.412000,0.481930,0.606260,3.199220,241.272080,-352.028750,2220368.750000,
0.414000,0.442200,0.719060,2.481450,241.303500,-352.028690,2220394.000000,
0.416000,0.352480,0.554990,2.040530,241.335600,-352.028660,2220419.250000,1.000000
