time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.198670,-0.108950,1.753420,204.317580,-344.868230,3281783.000000,1.000000,3.138980,-439.503600
0.002000,0.198670,-0.105100,1.886720,204.317600,-344.868410,3281808.250000,,3.135130,
0.004000,0.198670,-0.101260,1.784180,204.317600,-344.868560,3281833.500000,,3.128720,
0.006000,0.198670,-0.097410,2.020020,204.317610,-344.868680,3281858.750000,,3.126160,
0.008000,0.197390,-0.097410,1.763670,204.317630,-344.868800,3281884.250000,1.000000,3.122310,-439.503600
0.010000,0.197390,-0.091000,2.143070,204.317640,-344.868900,3281909.250000,,3.122310,
0.012000,0.197390,-0.089720,1.866210,204.317660,-344.869020,3281934.750000,,3.119750,
0.014000,0.198670,-0.085880,2.009770,204.317660,-344.869110,3281960.000000,,3.119750,
0.016000,0.198670,-0.083310,1.958500,204.317660,-344.869200,3281985.250000,1.000000,3.118470,-439.503600
0.018000,0.199950,-0.060240,1.814940,204.317660,-344.869320,3282010.500000,,3.122310,
0.020000,0.198670,0.310180,2.102050,204.318240,-344.869420,3282036.000000,,3.127440,
0.022000,0.198670,0.329410,1.691890,204.319560,-344.869540,3282061.000000,,3.132570,
0.024000,0.199950,0.338380,1.589360,204.320890,-344.869600,3282086.500000,1.000000,3.136410,-439.503600
0.026000,0.199950,0.421690,1.794430,204.322110,-344.869690,3282111.750000,,3.135130,
0.028000,0.199950,0.525510,1.855960,204.323520,-344.869720,3282137.000000,,3.136410,
0.030000,0.199950,0.611390,1.866210,204.325390,-344.869810,3282162.500000,,3.140260,
0.032000,0.201230,0.698550,1.640630,204.327880,-344.869870,3282187.750000,1.000000,3.150510,-439.503600
0.034000,0.201230,0.804930,1.650880,204.331100,-344.869930,3282213.000000,,3.153080,
0.036000,0.199950,0.943360,1.691890,204.335210,-344.869930,3282238.250000,,3.150510,
0.038000,0.199950,1.099730,1.845700,204.340420,-344.869930,3282263.750000,,3.142820,
0.040000,0.199950,1.256100,1.917480,204.347050,-344.869930,3282288.750000,1.000000,3.142820,-439.503600
0.042000,0.199950,1.395810,2.235350,204.355330,-344.869960,3282314.250000,,3.141540,
0.044000,0.199950,1.521420,2.143070,204.365490,-344.869960,3282339.500000,,3.138980,
0.044000,0.199950,1.521420,2.143070,204.365490,-344.869960,3282339.500000,,3.138980,
0.046000,0.198670,1.620120,1.835450,204.377700,-344.870000,3282364.750000,,3.141540,
0.048000,0.198670,1.680360,1.886720,204.392040,-344.870060,3282390.000000,1.000000,3.147950,-439.503600
0.050000,0.197390,1.716250,1.835450,204.408550,-344.870090,3282415.500000,,3.150510,
0.052000,0.196110,1.729060,1.507320,204.427220,-344.870120,3282440.500000,,3.156920,
0.054000,0.196110,1.712400,1.804690,204.447950,-344.870180,3282466.000000,,3.163330,
0.056000,0.194820,1.661130,1.958500,204.470660,-344.870210,3282491.250000,1.000000,3.169740,-439.503600
0.058000,0.194820,1.589360,1.989260,204.495150,-344.870240,3282516.500000,,3.176150,
0.060000,0.192260,1.507320,1.784180,204.521180,-344.870240,3282541.750000,,3.178710,
0.062000,0.190980,1.415040,1.640630,204.548570,-344.870240,3282567.250000,,3.182560,
0.064000,0.190980,1.303530,1.855960,204.577150,-344.870240,3282592.250000,1.000000,3.186400,-439.503600
0.066000,0.190980,1.195860,1.948240,204.606640,-344.870240,3282617.750000,,3.191530,
0.068000,0.190980,1.111270,2.061040,204.636780,-344.870240,3282643.000000,,3.191530,
0.070000,0.189700,1.045900,2.214840,204.667360,-344.870240,3282668.250000,,3.197940,
0.072000,0.188420,0.986940,2.040530,204.698270,-344.870240,3282693.500000,1.000000,3.199220,-439.503660
0.074000,0.188420,0.927980,1.917480,204.729430,-344.870210,3282719.000000,,3.200500,
0.076000,0.188420,0.884400,1.722660,204.760590,-344.870210,3282744.000000,,3.206910,
0.078000,0.188420,0.852360,1.979000,204.791670,-344.870210,3282769.500000,,3.209470,
0.080000,0.188420,0.833130,1.804690,204.822630,-344.870210,3282794.750000,1.000000,3.212040,-439.503660
0.082000,0.187130,0.817750,1.876460,204.853530,-344.870210,3282820.000000,,3.217160,
0.084000,0.185850,0.788270,1.681640,204.884510,-344.870180,3282845.250000,,3.218440,
0.086000,0.185850,0.731870,1.671390,204.915540,-344.870180,3282870.750000,,3.221010,
0.088000,0.185850,0.667790,1.456050,204.946690,-344.870150,3282896.000000,1.000000,3.224850,-439.503660
0.090000,0.184570,0.588320,1.486820,204.977950,-344.870150,3282921.250000,,3.224850,
0.092000,0.183290,0.506290,1.968750,205.009290,-344.870150,3282946.750000,,3.227420,
0.094000,0.183290,0.442200,1.958500,205.040600,-344.870150,3282971.750000,,3.228700,
0.096000,0.182010,0.402470,2.009770,205.071820,-344.870150,3282997.250000,1.000000,3.228700,-439.503660
0.098000,0.180730,0.366580,1.999510,205.102980,-344.870150,3283022.500000,,3.231260,
0.100000,0.182010,0.335820,1.732910,205.134060,-344.870150,3283047.750000,,3.232540,
0.102000,0.179440,0.328130,1.589360,205.165010,-344.870120,3283073.000000,,3.232540,
0.104000,0.179440,0.340940,1.681640,205.195830,-344.870120,3283098.500000,1.000000,3.235110,-439.503660
0.106000,0.179440,0.370420,2.163570,205.226550,-344.870120,3283123.500000,,3.237670,
0.108000,0.179440,0.405030,2.071290,205.257220,-344.870120,3283149.000000,,3.237670,
0.110000,0.178160,0.438350,1.866210,205.287900,-344.870120,3283174.250000,,3.238950,
0.112000,0.178160,0.467830,1.497070,205.318650,-344.870120,3283199.500000,1.000000,3.240230,-439.503660
0.114000,0.176880,0.492190,1.620120,205.349500,-344.870090,3283224.750000,,3.240230,
0.116000,0.178160,0.506290,1.650880,205.380460,-344.870090,3283250.250000,,3.242800,
0.118000,0.176880,0.522950,1.640630,205.411530,-344.870120,3283275.250000,,3.245360,
0.120000,0.176880,0.535770,2.009770,205.442670,-344.870120,3283300.750000,1.000000,3.246640,-439.503690
0.122000,0.175600,0.542180,2.009770,205.473940,-344.870120,3283326.000000,,3.249210,
0.124000,0.174320,0.552430,2.020020,205.505280,-344.870090,3283351.250000,,3.253050,
0.126000,0.174320,0.563960,1.927730,205.536650,-344.870090,3283376.500000,,3.254330,
0.128000,0.173030,0.601140,1.866210,205.567990,-344.870090,3283402.000000,1.000000,3.258180,-439.503690
0.130000,0.174320,0.665220,1.712400,205.599270,-344.870090,3283427.000000,,3.259460,
0.132000,0.173030,0.721620,1.948240,205.630550,-344.870090,3283452.500000,,3.263310,
0.134000,0.173030,0.766480,2.153320,205.661910,-344.870090,3283477.750000,,3.265870,
0.136000,0.173030,0.793400,1.814940,205.693410,-344.870090,3283503.000000,1.000000,3.267150,-439.503690
0.138000,0.173030,0.790830,1.702150,205.725080,-344.870090,3283528.250000,,3.268430,
0.140000,0.175600,0.780580,1.620120,205.756870,-344.870090,3283553.750000,,3.271000,
0.142000,0.175600,0.767760,1.773930,205.788760,-344.870090,3283579.000000,,3.273560,
0.144000,0.175600,0.765200,1.691890,205.820620,-344.870060,3283604.250000,1.000000,3.276120,-439.503690
0.146000,0.176880,0.778020,1.681640,205.852430,-344.870060,3283629.750000,,3.281250,
0.148000,0.176880,0.788270,1.640630,205.884220,-344.870060,3283654.750000,,3.285100,
0.150000,0.176880,0.788270,1.753420,205.916000,-344.870060,3283680.250000,,3.288940,
0.152000,0.178160,0.781860,1.896970,205.947780,-344.870030,3283705.500000,1.000000,3.292790,-439.503690
0.154000,0.180730,0.767760,1.855960,205.979610,-344.870000,3283730.750000,,3.295350,
0.156000,0.182010,0.753660,2.112300,206.011430,-344.870000,3283756.000000,,3.297910,
0.158000,0.184570,0.725460,1.979000,206.043290,-344.869960,3283781.500000,,3.299190,
0.160000,0.184570,0.698550,1.814940,206.075120,-344.869960,3283806.500000,1.000000,3.301760,-439.503690
0.162000,0.185850,0.666500,1.825200,206.107030,-344.869960,3283832.000000,,3.305600,
0.164000,0.187130,0.617800,1.948240,206.138960,-344.869960,3283857.250000,,3.304320,
0.166000,0.189700,0.558840,1.558590,206.170960,-344.869960,3283882.500000,,3.306880,
0.168000,0.192260,0.506290,1.804690,206.202930,-344.869960,3283907.750000,1.000000,3.306880,-439.503690
0.170000,0.193540,0.472960,1.968750,206.234790,-344.869960,3283933.250000,,3.309450,
0.172000,0.194820,0.448610,2.091800,206.266540,-344.869960,3283958.250000,,3.312010,
0.174000,0.196110,0.417850,1.630370,206.298220,-344.869960,3283983.750000,,3.314580,
0.176000,0.197390,0.392210,1.681640,206.329830,-344.869960,3284009.000000,1.000000,3.317140,-439.503660
0.178000,0.198670,0.389650,1.876460,206.361280,-344.869930,3284034.250000,,3.318420,
0.180000,0.199950,0.412720,1.937990,206.392530,-344.869930,3284059.500000,,3.319700,
0.182000,0.199950,0.448610,2.143070,206.423680,-344.869900,3284085.000000,,3.322270,
0.184000,0.201230,0.489620,2.194340,206.454730,-344.869900,3284110.250000,1.000000,3.322270,-439.503660
0.186000,0.201230,0.503720,2.245610,206.485840,-344.869900,3284135.500000,,3.322270,
0.188000,0.201230,0.499880,1.691890,206.517040,-344.869900,3284160.750000,,3.322270,
0.190000,0.201230,0.484500,1.968750,206.548360,-344.869900,3284186.000000,,3.324830,
0.192000,0.199950,0.465270,2.009770,206.579800,-344.869900,3284211.250000,1.000000,3.323550,-439.503660
0.194000,0.199950,0.453740,1.773930,206.611270,-344.869900,3284236.750000,,3.326110,
0.196000,0.198670,0.471680,1.927730,206.642700,-344.869900,3284262.000000,,3.327390,
0.198000,0.197390,0.497310,1.548340,206.674120,-344.869900,3284287.250000,,3.328670,
0.200000,0.196110,0.520390,1.784180,206.705540,-344.869900,3284312.500000,1.000000,3.329960,-439.503660
0.202000,0.194820,0.539610,1.445800,206.736980,-344.869900,3284337.750000,,3.333800,
0.204000,0.192260,0.557560,1.620120,206.768450,-344.869900,3284363.000000,,3.335080,
0.206000,0.190980,0.579350,1.866210,206.799930,-344.869870,3284388.500000,,3.337650,
0.208000,0.188420,0.615230,1.968750,206.831340,-344.869870,3284413.750000,1.000000,3.340210,-439.503660
0.210000,0.185850,0.656250,1.937990,206.862730,-344.869840,3284439.000000,,3.341490,
0.212000,0.183290,0.690860,1.948240,206.894130,-344.869840,3284464.250000,,3.342770,
0.214000,0.182010,0.716490,1.753420,206.925600,-344.869840,3284489.750000,,3.342770,
