time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.173030,-0.098690,1.579100,235.529800,-364.709290,1590177.750000,1.000000
0.002000,0.171750,-0.094850,1.497070,235.529800,-364.709500,1590203.000000,
0.004000,0.170470,-0.089720,2.040530,235.529800,-364.709690,1590228.250000,
0.006000,0.169190,-0.089720,2.050780,235.529830,-364.709810,1590253.625000,
0.008000,0.166630,-0.085880,2.143070,235.529830,-364.709930,1590278.875000,1.000000
0.010000,0.166630,-0.083310,1.989260,235.529850,-364.710050,1590304.125000,
0.012000,0.164060,-0.079470,1.907230,235.529850,-364.710170,1590329.500000,
0.014000,0.162780,-0.078190,1.517580,235.529850,-364.710270,1590354.750000,
0.016000,0.160220,-0.078190,2.040530,235.529880,-364.710390,1590380.000000,1.000000
0.018000,0.157650,-0.055110,2.225100,235.529880,-364.710510,1590405.375000,
0.020000,0.156370,0.316590,2.132810,235.530460,-364.710570,1590430.625000,
0.022000,0.155090,0.326840,1.794430,235.531830,-364.710660,1590455.875000,
0.024000,0.153810,0.278140,1.538090,235.533370,-364.710780,1590481.250000,1.000000
0.026000,0.152530,0.348630,1.456050,235.534730,-364.710850,1590506.625000,
0.028000,0.149960,0.447330,1.681640,235.536190,-364.710940,1590531.875000,
0.030000,0.149960,0.515260,1.753420,235.538180,-364.711000,1590557.125000,
0.032000,0.149960,0.588320,2.009770,235.540760,-364.711090,1590582.500000,1.000000
0.034000,0.147400,0.698550,1.989260,235.543980,-364.711180,1590607.750000,
0.036000,0.146120,0.847230,1.999510,235.547970,-364.711180,1590633.000000,
0.038000,0.147400,1.018980,1.609860,235.553070,-364.711180,1590658.375000,
0.040000,0.144840,1.175350,1.784180,235.559600,-364.711180,1590683.625000,1.000000
0.042000,0.143550,1.321470,1.814940,235.567790,-364.711210,1590709.000000,
0.044000,0.143550,1.450930,1.814940,235.577850,-364.711210,1590734.250000,
0.046000,0.143550,1.556030,2.184080,235.589920,-364.711270,1590759.500000,
0.048000,0.142270,1.629090,1.691890,235.604160,-364.711330,1590784.875000,1.000000
0.050000,0.142270,1.676510,1.753420,235.620530,-364.711360,1590810.125000,
0.052000,0.140990,1.713680,1.404790,235.639020,-364.711400,1590835.375000,
0.054000,0.139710,1.734190,1.681640,235.659530,-364.711430,1590860.750000,
0.056000,0.138430,1.717530,1.917480,235.682010,-364.711460,1590886.000000,1.000000
0.058000,0.138430,1.659850,1.753420,235.706300,-364.711460,1590911.250000,
0.060000,0.138430,1.576540,1.722660,235.732220,-364.711490,1590936.625000,
