time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,1.335570,0.521670,6.203610,286.227110,-333.622010,665223.187500,1.000000
0.002000,0.734440,0.207640,7.844240,286.260160,-333.623350,665248.437500,
0.004000,0.338380,0.544740,9.515630,286.291140,-333.624630,665273.687500,
0.006000,0.842100,0.838260,9.823240,286.321590,-333.622380,665299.000000,
0.008000,1.162540,0.781860,7.885250,286.353300,-333.621400,665324.312500,1.000000
0.010000,0.970280,0.244810,5.967770,286.386810,-333.622500,665349.625000,
0.012000,0.456300,0.023070,8.367190,286.419770,-333.624110,665374.937500,
0.014000,0.463990,0.476810,9.454100,286.449800,-333.624020,665400.187500,
0.016000,0.963870,0.785710,8.531250,286.479610,-333.621610,665425.437500,1.000000
0.018000,1.102290,0.892090,5.865230,286.510440,-333.621730,665450.812500,
0.020000,0.740840,0.406310,5.024410,286.543210,-333.622470,665476.125000,
0.022000,0.170470,0.526790,7.813480,286.574650,-333.623990,665501.437500,
0.024000,0.402470,0.684450,10.141110,286.605440,-333.623810,665526.687500,1.000000
0.026000,1.083070,0.874150,9.648930,286.636410,-333.622190,665552.000000,
0.028000,1.370180,0.658810,6.418950,286.668640,-333.621980,665577.250000,
0.030000,0.913880,0.258910,6.952150,286.702000,-333.622860,665602.625000,
0.032000,0.337100,0.444760,8.982420,286.733520,-333.624690,665627.875000,1.000000
0.034000,0.658810,0.821590,10.018070,286.763790,-333.623140,665653.125000,
0.036000,1.121520,0.890810,8.613280,286.795140,-333.621430,665678.437500,
0.038000,1.061280,0.448610,6.131840,286.828250,-333.622310,665703.750000,
0.040000,0.538330,0.024350,7.536620,286.861790,-333.623810,665729.000000,1.000000
0.042000,0.353760,0.421690,9.156740,286.892460,-333.624630,665754.312500,
0.044000,0.883120,0.729310,8.664550,286.922360,-333.622160,665779.625000,
0.046000,1.131770,0.901060,6.234380,286.953000,-333.621610,665804.937500,
0.048000,0.826720,0.471680,4.716800,286.985570,-333.622410,665830.312500,1.000000
0.050000,0.267880,0.449890,7.659670,287.017490,-333.623720,665855.562500,
0.052000,0.288390,0.666500,9.956540,287.048220,-333.624270,665880.812500,
0.054000,0.984380,0.830570,10.171880,287.079070,-333.622500,665906.125000,
0.056000,1.377870,0.720340,7.116210,287.110990,-333.621980,665931.437500,1.000000
0.058000,1.067690,0.249940,6.490720,287.144320,-333.622590,665956.750000,
0.060000,0.435790,0.330690,8.787600,287.176390,-333.624450,665982.000000,
0.062000,0.546020,0.742130,10.089840,287.206570,-333.623750,666007.250000,
0.064000,1.049740,0.895940,9.361820,287.237400,-333.621460,666032.562500,1.000000
0.066000,1.139470,0.651120,6.583010,287.270080,-333.622040,666057.875000,
0.068000,0.702390,-0.016660,6.880370,287.304080,-333.623350,666083.187500,
