time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.243530,-0.132020,1.773930,235.527500,-363.619630,215781.140630,1.000000
0.002000,0.242250,-0.130740,1.855960,235.527500,-363.619840,215806.437500,
0.004000,0.242250,-0.129460,1.958500,235.527530,-363.620060,215831.734380,
0.006000,0.243530,-0.130740,2.184080,235.527530,-363.620270,215857.031250,
0.008000,0.243530,-0.132020,1.855960,235.527560,-363.620510,215882.312500,1.000000
0.010000,0.242250,-0.134580,1.948240,235.527560,-363.620790,215907.609380,
0.012000,0.243530,-0.134580,1.497070,235.527560,-363.621090,215932.906250,
0.014000,0.243530,-0.135860,1.466310,235.527530,-363.621460,215958.187500,
0.016000,0.243530,-0.137150,1.671390,235.527530,-363.621800,215983.515630,1.000000
0.018000,0.242250,-0.138430,1.825200,235.527530,-363.622100,216008.812500,
0.020000,0.243530,-0.111510,2.009770,235.527530,-363.622340,216034.093750,
0.022000,0.242250,0.260190,1.620120,235.528050,-363.622560,216059.390630,
0.024000,0.243530,0.271730,1.691890,235.529370,-363.622710,216084.687500,1.000000
0.026000,0.242250,0.226870,1.517580,235.530750,-363.622800,216110.000000,
0.028000,0.242250,0.264040,1.743160,235.531770,-363.622860,216135.296880,
0.030000,0.242250,0.296080,2.153320,235.532670,-363.622890,216160.593750,
0.032000,0.242250,0.274290,2.225100,235.533630,-363.622920,216185.859380,1.000000
0.034000,0.243530,0.216610,1.968750,235.534580,-363.622990,216211.171880,
0.036000,0.242250,0.171750,1.794430,235.535370,-363.623080,216236.468750,
0.038000,0.242250,0.156370,1.835450,235.535900,-363.623110,216261.765630,
0.040000,0.242250,0.164060,1.773930,235.536220,-363.623140,216287.046880,1.000000
0.042000,0.240970,0.176880,1.876460,235.536380,-363.623140,216312.343750,
0.044000,0.239690,0.192260,2.071290,235.536410,-363.623230,216337.640630,
0.046000,0.240970,0.202510,1.835450,235.536380,-363.623290,216362.937500,
0.048000,0.240970,0.202510,1.620120,235.536410,-363.623410,216388.250000,1.000000
0.050000,0.242250,0.203800,1.620120,235.536410,-363.623500,216413.546880,
0.052000,0.242250,0.206360,1.456050,235.536420,-363.623540,216438.828130,
0.054000,0.242250,0.211490,1.855960,235.536420,-363.623570,216464.125000,
0.056000,0.242250,0.214050,2.020020,235.536450,-363.623600,216489.421880,1.000000
0.058000,0.240970,0.217900,2.153320,235.536470,-363.623600,216514.718750,
0.060000,0.243530,0.221740,1.958500,235.536530,-363.623600,216540.000000,
0.062000,0.243530,0.226870,1.712400,235.536580,-363.623600,216565.296880,
0.064000,0.243530,0.235840,1.620120,235.536620,-363.623600,216590.625000,1.000000
0.066000,0.242250,0.243530,1.568850,235.536700,-363.623630,216615.906250,
0.068000,0.242250,0.249940,1.979000,235.536770,-363.623630,216641.203130,
0.070000,0.243530,0.255070,1.958500,235.536880,-363.623630,216666.500000,
0.072000,0.244810,0.257630,1.845700,235.537020,-363.623660,216691.781250,1.000000
0.074000,0.244810,0.262760,1.620120,235.537160,-363.623660,216717.078130,
0.076000,0.243530,0.274290,1.333010,235.537290,-363.623690,216742.406250,
0.078000,0.240970,0.285830,1.681640,235.537450,-363.623690,216767.687500,
0.080000,0.242250,0.297360,1.579100,235.537600,-363.623690,216792.984380,1.000000
0.082000,0.240970,0.306340,1.691890,235.537780,-363.623690,216818.281250,
0.084000,0.242250,0.314030,1.876460,235.537980,-363.623690,216843.578130,
0.086000,0.240970,0.319150,2.081540,235.538190,-363.623690,216868.859380,
0.088000,0.240970,0.319150,1.907230,235.538470,-363.623720,216894.156250,1.000000
0.090000,0.242250,0.312740,1.804690,235.538800,-363.623720,216919.453130,
0.092000,0.242250,0.308900,1.804690,235.539120,-363.623690,216944.750000,
0.094000,0.243530,0.307620,1.979000,235.539440,-363.623690,216970.062500,
0.096000,0.243530,0.311460,1.958500,235.539780,-363.623690,216995.359380,1.000000
0.098000,0.243530,0.314030,1.876460,235.540070,-363.623690,217020.640630,
0.100000,0.244810,0.317870,1.691890,235.540340,-363.623690,217045.937500,
0.102000,0.243530,0.325560,1.825200,235.540650,-363.623690,217071.234380,
0.104000,0.244810,0.335820,1.784180,235.540890,-363.623690,217096.531250,1.000000
0.106000,0.243530,0.344790,1.927730,235.541150,-363.623690,217121.812500,
0.108000,0.243530,0.353760,1.886720,235.541430,-363.623690,217147.140630,
0.110000,0.243530,0.361450,1.712400,235.541720,-363.623690,217172.421880,
0.112000,0.242250,0.367860,1.763670,235.542020,-363.623690,217197.718750,1.000000
0.114000,0.242250,0.374270,1.784180,235.542330,-363.623690,217223.015630,
0.116000,0.242250,0.376830,2.081540,235.542650,-363.623690,217248.312500,
0.118000,0.240970,0.367860,1.968750,235.543030,-363.623690,217273.593750,
0.120000,0.242250,0.348630,2.020020,235.543400,-363.623690,217298.890630,1.000000
0.122000,0.240970,0.325560,1.968750,235.543750,-363.623690,217324.187500,
0.124000,0.242250,0.302490,1.804690,235.544020,-363.623690,217349.484380,
0.126000,0.240970,0.292240,1.497070,235.544170,-363.623690,217374.765630,
0.128000,0.242250,0.289670,1.548340,235.544280,-363.623690,217400.093750,1.000000
0.130000,0.240970,0.289670,1.763670,235.544300,-363.623690,217425.375000,
0.132000,0.242250,0.288390,1.671390,235.544330,-363.623660,217450.671880,
0.134000,0.243530,0.288390,1.948240,235.544300,-363.623660,217475.968750,
0.136000,0.243530,0.284550,1.640630,235.544300,-363.623660,217501.265630,1.000000
0.138000,0.242250,0.279420,1.650880,235.544330,-363.623660,217526.578130,
0.140000,0.243530,0.276860,1.486820,235.544330,-363.623660,217551.875000,
0.142000,0.242250,0.274290,1.743160,235.544330,-363.623660,217577.171880,
0.144000,0.242250,0.270450,2.102050,235.544300,-363.623660,217602.453130,1.000000
0.146000,0.242250,0.266600,2.235350,235.544300,-363.623630,217627.750000,
0.148000,0.242250,0.264040,1.999510,235.544300,-363.623630,217653.046880,
0.150000,0.242250,0.260190,1.732910,235.544300,-363.623630,217678.343750,
0.152000,0.242250,0.256350,1.917480,235.544300,-363.623630,217703.625000,1.000000
0.154000,0.242250,0.252500,1.671390,235.544280,-363.623630,217728.921880,
0.156000,0.240970,0.248660,1.763670,235.544280,-363.623630,217754.218750,
0.158000,0.240970,0.244810,2.020020,235.544280,-363.623630,217779.531250,
0.160000,0.240970,0.240970,1.958500,235.544280,-363.623630,217804.828130,1.000000
0.162000,0.240970,0.238400,1.732910,235.544250,-363.623630,217830.125000,
0.164000,0.240970,0.234560,1.609860,235.544250,-363.623630,217855.406250,
0.166000,0.240970,0.231990,1.589360,235.544250,-363.623630,217880.703130,
0.168000,0.240970,0.226870,1.773930,235.544220,-363.623600,217906.015630,1.000000
0.170000,0.240970,0.224300,1.927730,235.544220,-363.623600,217931.312500,
0.172000,0.242250,0.220460,2.255860,235.544220,-363.623600,217956.609380,
0.174000,0.242250,0.217900,2.050780,235.544220,-363.623600,217981.906250,
0.176000,0.242250,0.215330,1.968750,235.544220,-363.623600,218007.187500,1.000000
0.178000,0.242250,0.212770,1.466310,235.544200,-363.623570,218032.484380,
0.180000,0.243530,0.210210,1.712400,235.544200,-363.623570,218057.781250,
0.182000,0.242250,0.208920,1.927730,235.544200,-363.623570,218083.078130,
0.184000,0.242250,0.205080,1.804690,235.544170,-363.623570,218108.359380,1.000000
0.186000,0.242250,0.203800,2.081540,235.544170,-363.623570,218133.656250,
0.188000,0.242250,0.199950,1.620120,235.544170,-363.623570,218158.968750,
0.190000,0.240970,0.197390,1.640630,235.544170,-363.623570,218184.265630,
0.192000,0.242250,0.193540,1.363770,235.544170,-363.623540,218209.562500,1.000000
0.194000,0.240970,0.192260,1.630370,235.544140,-363.623540,218234.859380,
0.196000,0.239690,0.188420,1.661130,235.544140,-363.623540,218260.140630,
0.198000,0.240970,0.185850,1.876460,235.544140,-363.623540,218285.437500,
0.200000,0.240970,0.182010,2.225100,235.544140,-363.623540,218310.734380,1.000000
0.202000,0.242250,0.179440,1.845700,235.544130,-363.623540,218336.031250,
0.204000,0.242250,0.176880,1.773930,235.544130,-363.623540,218361.312500,
0.206000,0.240970,0.173030,1.599610,235.544130,-363.623540,218386.640630,
0.208000,0.240970,0.171750,1.825200,235.544130,-363.623540,218411.921880,1.000000
0.210000,0.240970,0.167910,2.112300,235.544130,-363.623540,218437.218750,
0.212000,0.242250,0.164060,1.794430,235.544100,-363.623540,218462.515630,
0.214000,0.242250,0.161500,1.825200,235.544100,-363.623540,218487.812500,
0.216000,0.240970,0.160220,1.784180,235.544070,-363.623540,218513.093750,1.000000
0.218000,0.240970,0.157650,1.691890,235.544070,-363.623540,218538.390630,
0.220000,0.240970,0.155090,1.732910,235.544070,-363.623500,218563.718750,
0.222000,0.240970,0.151250,1.866210,235.544050,-363.623500,218589.000000,
0.224000,0.240970,0.148680,1.886720,235.544050,-363.623500,218614.296880,1.000000
0.226000,0.240970,0.144840,1.743160,235.544050,-363.623500,218639.593750,
0.228000,0.242250,0.142270,1.979000,235.544050,-363.623500,218664.890630,
0.230000,0.242250,0.140990,1.907230,235.544050,-363.623500,218690.171880,
0.232000,0.240970,0.138430,1.937990,235.544020,-363.623500,218715.468750,1.000000
0.234000,0.240970,0.135860,1.927730,235.544020,-363.623470,218740.765630,
