40,-75.246480,-75.241920,1.000000,-75.221720
45.953000,0.830080,-75.246350,-75.241750,1.000000,-75.221670
45.955000,0.830080,-75.246090,-75.241420,1.000000,-75.221540
45.956000,0.888670,-75.245960,-75.241250,1.000000,-75.221500
45.957000,0.859380,-75.245830,-75.241080,1.000000,-75.221440
45.958000,0.878910,-75.245700,-75.240920,1.000000,-75.221390
45.959000,0.878910,-75.245560,-75.240750,1.000000,-75.221340
45.960000,0.878910,-75.245420,-75.240580,1.000000,-75.221290
45.961000,0.849610,-75.245290,-75.240420,1.000000,-75.221220
45.962000,0.878910,-75.245140,-75.240250,1.000000,-75.221180
45.963000,0.888670,-75.245000,-75.240080,1.000000,-75.221120
45.964000,0.908200,-75.244860,-75.239920,1.000000,-75.221080
45.965000,0.878910,-75.244720,-75.239750,1.000000,-75.221020
45.966000,0.869140,-75.244580,-75.239580,1.000000,-75.220980
45.967000,0.908200,-75.244420,-75.239420,1.000000,-75.220910
45.968000,0.927730,-75.244280,-75.239250,1.000000,-75.220860
45.969000,0.908200,-75.244130,-75.239080,1.000000,-75.220810
45.970000,0.908200,-75.243990,-75.238920,1.000000,-75.220770
45.971000,0.898440,-75.243830,-75.238750,1.000000,-75.220750
45.972000,0.917970,-75.243690,-75.238580,1.000000,-75.220710
46.003000,0.986330,-75.238770,-75.233420,1.000000,-75.218300
46.004000,1.005860,-75.238600,-75.233250,1.000000,-75.218210
46.006000,0.976560,-75.238260,-75.232920,1.000000,-75.218020
46.007000,1.035160,-75.238090,-75.232750,1.000000,-75.217910
46.008000,1.015630,-75.237920,-75.232580,1.000000,-75.217830
46.009000,0.986330,-75.237750,-75.232420,1.000000,-75.217700
46.010000,1.015630,-75.237590,-75.232250,1.000000,-75.217610
46.011000,1.025390,-75.237430,-75.232080,1.000000,-75.217480
46.012000,1.015630,-75.237270,-75.231920,1.000000,-75.217390
46.013000,1.035160,-75.237100,-75.231750,1.000000,-75.217250
46.014000,1.025390,-75.236920,-75.231580,1.000000,-75.217120
46.015000,1.005860,-75.236760,-75.231420,1.000000,-75.216960
46.016000,1.025390,-75.236580,-75.231250,1.000000,-75.216840
46.016000,1.025390,-75.236580,-75.231250,1.000000,-75.216840
46.017000,1.025390,-75.236420,-75.231080,1.000000,-75.216700
46.018000,1.054690,-75.236250,-75.230920,1.000000,-75.216530
46.019000,1.005860,-75.236080,-75.230750,1.000000,-75.216350
46.020000,1.044920,-75.235920,-75.230580,1.000000,-75.216200
46.021000,0.996090,-75.235730,-75.230420,1.000000,-75.216040
46.022000,1.035160,-75.235560,-75.230250,1.000000,-75.215880
46.023000,0.986330,-75.235370,-75.230080,1.000000,-75.215680
46.036000,1.015630,-75.233050,-75.227920,1.000000,-75.213300
46.037000,0.986330,-75.232880,-75.227750,1.000000,-75.213130
46.039000,1.025390,-75.232540,-75.227420,1.000000,-75.212810
46.040000,1.005860,-75.232360,-75.227250,1.000000,-75.212670
46.041000,1.015630,-75.232190,-75.227080,1.000000,-75.212500
46.042000,1.015630,-75.232020,-75.226920,1.000000,-75.212340
46.043000,0.966800,-75.231840,-75.226750,1.000000,-75.212170
46.044000,0.986330,-75.231680,-75.226580,1.000000,-75.212000
46.045000,1.005860,-75.231510,-75.226420,1.000000,-75.211850
46.046000,0.986330,-75.231350,-75.226250,1.000000,-75.211700
46.047000,1.015630,-75.231180,-75.226080,1.000000,-75.211540
46.048000,1.035160,-75.231010,-75.225920,1.000000,-75.211370
46.049000,1.005860,-75.230840,-75.225750,1.000000,-75.211200
46.050000,0.976560,-75.230670,-75.225580,1.000000,-75.211040
46.051000,0.996090,-75.230490,-75.225420,1.000000,-75.210860
46.052000,1.005860,-75.230330,-75.225250,1.000000,-75.210690
46.053000,1.015630,-75.230160,-75.225080,1.000000,-75.210500
46.054000,1.015630,-75.229990,-75.224920,1.000000,-75.210330
46.055000,1.005860,-75.229820,-75.224750,1.000000,-75.210140
46.056000,1.015630,-75.229640,-75.224580,1.000000,-75.209930
46.056000,1.015630,-75.229640,-75.224580,1.000000,-75.209930
46.078000,0.996090,-75.225900,-75.220920,1.000000,-75.206580
46.079000,1.015630,-75.225740,-75.220750,1.000000,-75.206440
46.081000,0.986330,-75.225410,-75.220420,1.000000,-75.206160
46.082000,1.005860,-75.225260,-75.220250,1.000000,-75.206020
46.083000,1.015630,-75.225080,-75.220080,1.000000,-75.205880
46.084000,1.025390,-75.224920,-75.219920,1.000000,-75.205740
46.085000,1.025390,-75.224760,-75.219750,1.000000,-75.205600
46.086000,1.015630,-75.224590,-75.219580,1.000000,-75.205440
46.087000,0.996090,-75.224430,-75.219420,1.000000,-75.205260
46.088000,1.005860,-75.224260,-75.219250,1.000000,-75.205090
46.089000,0.996090,-75.224090,-75.219080,1.000000,-75.204930
