time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.162780,-0.116640,1.363770,204.315670,-334.870390,2825289.250000,1.000000,3.159480,-459.501740
0.002000,0.162780,-0.117920,1.753420,204.315690,-334.870510,2825314.500000,,3.151790,
0.004000,0.164060,-0.117920,1.599610,204.315670,-334.870610,2825340.000000,,3.149230,
0.006000,0.162780,-0.117920,1.855960,204.315670,-334.870700,2825365.000000,,3.145390,
0.008000,0.164060,-0.119200,2.050780,204.315670,-334.870790,2825390.500000,1.000000,3.141540,-459.501740
0.010000,0.162780,-0.119200,2.194340,204.315670,-334.870910,2825415.750000,,3.144100,
0.012000,0.161500,-0.121770,1.948240,204.315670,-334.871030,2825441.000000,,3.150510,
0.014000,0.161500,-0.120480,1.979000,204.315660,-334.871150,2825466.250000,,3.153080,
0.016000,0.161500,-0.119200,1.855960,204.315660,-334.871250,2825491.750000,1.000000,3.162050,-459.501740
0.018000,0.162780,-0.092290,1.927730,204.315660,-334.871400,2825516.750000,,3.173580,
0.020000,0.164060,0.278140,2.184080,204.316190,-334.871460,2825542.250000,,3.176150,
0.022000,0.162780,0.312740,2.225100,204.317470,-334.871550,2825567.500000,,3.178710,
0.024000,0.162780,0.342220,1.732910,204.318700,-334.871580,2825592.750000,1.000000,3.178710,-459.501800
0.026000,0.164060,0.446040,1.958500,204.319790,-334.871580,2825618.000000,,3.174870,
0.028000,0.164060,0.570370,1.394530,204.321060,-334.871610,2825643.500000,,3.173580,
0.030000,0.164060,0.663940,1.855960,204.322880,-334.871640,2825668.500000,,3.178710,
0.032000,0.165340,0.763920,1.773930,204.325330,-334.871700,2825694.000000,1.000000,3.185120,-459.501800
0.032000,0.165340,0.763920,1.773930,204.325330,-334.871700,2825694.000000,1.000000,3.185120,-459.501800
0.034000,0.165340,0.877990,1.794430,204.328550,-334.871700,2825719.250000,,3.181270,
0.036000,0.164060,1.026670,1.825200,204.332660,-334.871700,2825744.500000,,3.182560,
