time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.120480,-0.069210,1.609860,204.314820,-334.870640,14801.120120,1.000000,3.146670,-579.502870
0.002000,0.120480,-0.066650,1.497070,204.314820,-334.870730,14826.425780,,3.141540,
0.004000,0.120480,-0.067930,1.681640,204.314820,-334.870850,14851.721680,,3.140260,
0.006000,0.121770,-0.069210,1.968750,204.314820,-334.870910,14877.017580,,3.131290,
0.008000,0.121770,-0.067930,2.102050,204.314820,-334.871000,14902.303710,1.000000,3.128720,-579.502870
0.010000,0.123050,-0.069210,1.979000,204.314820,-334.871090,14927.598630,,3.131290,
0.012000,0.123050,-0.067930,2.143070,204.314820,-334.871190,14952.896480,,3.131290,
0.014000,0.124330,-0.069210,1.804690,204.314820,-334.871310,14978.187500,,3.137700,
0.014000,0.124330,-0.069210,1.804690,204.314820,-334.871310,14978.187500,,3.137700,
0.016000,0.124330,-0.070500,1.937990,204.314820,-334.871430,15003.491210,1.000000,3.145390,-579.502870
0.018000,0.124330,-0.043580,1.979000,204.314820,-334.871550,15028.774410,,3.155640,
0.020000,0.126890,0.328130,2.020020,204.315350,-334.871640,15054.077150,,3.158200,
0.022000,0.126890,0.349910,1.753420,204.316680,-334.871700,15079.373050,,3.164610,
0.024000,0.128170,0.340940,1.609860,204.318070,-334.871770,15104.668950,1.000000,3.160770,-579.502870
0.026000,0.129460,0.433230,1.814940,204.319270,-334.871770,15129.967770,,3.159480,
0.028000,0.129460,0.557560,1.579100,204.320600,-334.871770,15155.262700,,3.160770,
0.030000,0.130740,0.658810,1.763670,204.322420,-334.871830,15180.566410,,3.163330,
0.032000,0.130740,0.753660,1.753420,204.324860,-334.871890,15205.859380,1.000000,3.171020,-579.502870
0.034000,0.132020,0.869020,1.866210,204.328050,-334.871920,15231.161130,,3.171020,
0.036000,0.132020,1.015140,1.640630,204.332140,-334.871890,15256.456050,,3.168460,
