time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.121770,-0.135860,1.548340,204.315580,-354.869750,23368.505860,1.000000,3.128720,-564.503850
0.002000,0.123050,-0.135860,1.835450,204.315580,-354.869960,23393.804690,,3.127440,
0.004000,0.123050,-0.134580,2.061040,204.315580,-354.870120,23419.099610,,3.122310,
0.006000,0.123050,-0.135860,1.753420,204.315580,-354.870240,23444.394530,,3.117190,
0.008000,0.123050,-0.134580,1.681640,204.315580,-354.870360,23469.701170,1.000000,3.113340,-564.503780
0.010000,0.123050,-0.134580,1.527830,204.315580,-354.870480,23494.996090,,3.112060,
0.012000,0.123050,-0.137150,1.712400,204.315600,-354.870540,23520.292970,,3.105650,
0.014000,0.124330,-0.135860,2.009770,204.315600,-354.870640,23545.585940,,3.106930,
0.016000,0.123050,-0.137150,2.071290,204.315600,-354.870790,23570.871090,1.000000,3.110780,-564.503780
0.018000,0.096130,-0.137150,2.440430,204.315580,-354.870880,23596.171880,,3.117190,
0.020000,-0.260190,-0.110230,1.794430,204.315580,-354.871000,23621.462890,,3.122310,
0.022000,-0.217900,0.271730,1.794430,204.316160,-354.871090,23646.763670,,3.128720,
0.024000,-0.137150,0.320430,1.743160,204.317550,-354.871190,23672.056640,1.000000,3.131290,-564.505430
0.026000,-0.156370,0.358890,1.743160,204.319050,-354.871250,23697.351560,,3.130000,
0.028000,-0.185850,0.496030,1.753420,204.320480,-354.871280,23722.646480,,3.128720,
0.030000,-0.180730,0.652400,1.866210,204.322220,-354.871340,23747.939450,,3.128720,
0.032000,-0.182010,0.774170,1.968750,204.324680,-354.871370,23773.242190,1.000000,3.131290,-564.510070
0.034000,-0.237120,0.884400,1.784180,204.327970,-354.871430,23798.541020,,3.136410,
0.036000,-0.315310,1.018980,1.538090,204.332210,-354.871460,23823.841800,,3.141540,
0.038000,-0.372990,1.171510,1.425290,204.337600,-354.871460,23849.138670,,3.136410,
0.040000,-0.402470,1.322750,1.702150,204.344410,-354.871460,23874.435550,1.000000,3.131290,-564.513310
0.042000,-0.426820,1.458620,1.907230,204.352860,-354.871460,23899.726560,,3.131290,
0.044000,-0.469120,1.575260,2.020020,204.363200,-354.871490,23925.015630,,3.132570,
0.046000,-0.517820,1.662410,2.071290,204.375580,-354.871520,23950.312500,,3.131290,
0.048000,-0.547300,1.720090,1.702150,204.390030,-354.871580,23975.611330,1.000000,3.137700,-564.519650
0.050000,-0.552430,1.755980,1.691890,204.406600,-354.871640,24000.910160,,3.147950,
0.052000,-0.553710,1.763670,1.794430,204.425250,-354.871700,24026.199220,,3.155640,
0.054000,-0.552430,1.740600,1.814940,204.445970,-354.871730,24051.496090,,3.160770,
0.056000,-0.543460,1.684200,1.691890,204.468570,-354.871730,24076.794920,1.000000,3.167180,-564.532780
0.058000,-0.531920,1.609860,2.009770,204.492870,-354.871770,24102.087890,,3.172300,
0.060000,-0.506290,1.520140,1.486820,204.518710,-354.871770,24127.386720,,3.177430,
0.062000,-0.475520,1.411190,1.558590,204.545840,-354.871770,24152.685550,,3.179990,
0.064000,-0.444760,1.283020,1.466310,204.574140,-354.871730,24177.984380,1.000000,3.182560,-564.552670
0.066000,-0.419130,1.158690,1.753420,204.603300,-354.871730,24203.281250,,3.186400,
0.068000,-0.402470,1.060000,1.989260,204.633040,-354.871730,24228.580080,,3.187680,
0.070000,-0.390930,0.986940,1.907230,204.663130,-354.871730,24253.871090,,3.192810,
0.072000,-0.380680,0.919010,1.999510,204.693500,-354.871730,24279.167970,1.000000,3.195370,-564.576660
0.074000,-0.378110,0.852360,1.999510,204.724010,-354.871730,24304.458980,,3.197940,
0.076000,-0.380680,0.797240,1.712400,204.754520,-354.871700,24329.748050,,3.200500,
0.078000,-0.393490,0.767760,1.712400,204.784840,-354.871700,24355.052730,,3.205630,
0.080000,-0.397340,0.757510,2.061040,204.815000,-354.871700,24380.339840,1.000000,3.208190,-564.601870
0.082000,-0.399900,0.753660,2.286620,204.845060,-354.871670,24405.640630,,3.209470,
0.084000,-0.411440,0.743410,1.866210,204.875120,-354.871670,24430.937500,,3.215880,
0.086000,-0.417850,0.704960,1.609860,204.905290,-354.871670,24456.234380,,3.217160,
0.088000,-0.422970,0.654970,1.661130,204.935560,-354.871640,24481.533200,1.000000,3.221010,-564.627080
0.090000,-0.426820,0.588320,1.435550,204.965960,-354.871640,24506.828130,,3.221010,
0.092000,-0.430660,0.507570,1.620120,204.996510,-354.871640,24532.128910,,3.223570,
0.094000,-0.433230,0.439640,1.825200,205.027110,-354.871640,24557.423830,,3.224850,
0.096000,-0.435790,0.398620,1.773930,205.057630,-354.871610,24582.722660,1.000000,3.227420,-564.652710
0.098000,-0.437070,0.374270,1.620120,205.088040,-354.871610,24608.021480,,3.227420,
0.100000,-0.442200,0.351200,2.071290,205.118440,-354.871610,24633.310550,,3.231260,
0.102000,-0.451170,0.342220,1.650880,205.148740,-354.871610,24658.599610,,3.231260,
0.104000,-0.456300,0.349910,1.855960,205.178940,-354.871610,24683.898440,1.000000,3.231260,-564.678530
0.106000,-0.461430,0.375550,1.732910,205.209030,-354.871610,24709.197270,,3.235110,
0.108000,-0.470400,0.407590,1.855960,205.239070,-354.871610,24734.492190,,3.236390,
0.110000,-0.465270,0.439640,1.937990,205.269120,-354.871610,24759.785160,,3.237670,
0.112000,-0.461430,0.475520,1.640630,205.299210,-354.871610,24785.078130,1.000000,3.238950,-564.704470
0.114000,-0.460140,0.511410,1.538090,205.329360,-354.871610,24810.376950,,3.240230,
0.116000,-0.455020,0.543460,1.671390,205.359590,-354.871610,24835.679690,,3.241520,
0.118000,-0.455020,0.569090,1.784180,205.389910,-354.871610,24860.974610,,3.244080,
0.120000,-0.462710,0.597290,1.814940,205.420350,-354.871610,24886.279300,1.000000,3.246640,-564.730710
0.122000,-0.458860,0.611390,1.589360,205.450930,-354.871610,24911.574220,,3.249210,
0.124000,-0.465270,0.617800,1.712400,205.481610,-354.871610,24936.869140,,3.251770,
0.126000,-0.471680,0.620360,1.548340,205.512410,-354.871580,24962.164060,,3.254330,
0.128000,-0.472960,0.634460,1.896970,205.543210,-354.871580,24987.455080,1.000000,3.259460,-564.756960
0.130000,-0.474240,0.671630,2.184080,205.573990,-354.871580,25012.755860,,3.263310,
0.132000,-0.476810,0.726750,2.204590,205.604710,-354.871550,25038.046880,,3.265870,
0.134000,-0.472960,0.771610,1.886720,205.635450,-354.871550,25063.343750,,3.269710,
0.136000,-0.460140,0.807500,1.773930,205.666240,-354.871520,25088.632810,1.000000,3.273560,-564.783200
0.138000,-0.471680,0.820310,2.009770,205.697170,-354.871520,25113.929690,,3.274840,
0.140000,-0.476810,0.812620,1.691890,205.728240,-354.871520,25139.220700,,3.277400,
0.142000,-0.466550,0.802370,1.732910,205.759380,-354.871520,25164.521480,,3.279970,
0.144000,-0.467830,0.784420,2.020020,205.790620,-354.871490,25189.818360,1.000000,3.279970,-564.809510
0.146000,-0.465270,0.772890,1.937990,205.821870,-354.871490,25215.121090,,3.283810,
0.148000,-0.466550,0.779300,1.948240,205.853040,-354.871490,25240.416020,,3.287660,
0.150000,-0.467830,0.778020,1.425290,205.884160,-354.871490,25265.714840,,3.291500,
0.152000,-0.465270,0.760070,1.732910,205.915340,-354.871490,25291.015630,1.000000,3.292790,-564.835820
0.154000,-0.467830,0.739560,1.702150,205.946490,-354.871460,25316.304690,,3.297910,
