time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.134580,-0.125610,1.886720,204.316590,-358.869110,500722.843750,1.000000,3.169740,-564.504150
0.002000,0.135860,-0.125610,1.958500,204.316590,-358.869230,500748.125000,,3.163330,
0.004000,0.134580,-0.125610,1.732910,204.316590,-358.869320,500773.468750,,3.158200,
0.006000,0.134580,-0.126890,1.814940,204.316590,-358.869420,500798.781250,,3.154360,
0.008000,0.133300,-0.126890,1.548340,204.316590,-358.869510,500824.062500,1.000000,3.150510,-564.504150
0.010000,0.133300,-0.125610,1.620120,204.316590,-358.869600,500849.343750,,3.150510,
0.012000,0.133300,-0.125610,1.989260,204.316570,-358.869690,500874.656250,,3.150510,
0.014000,0.133300,-0.125610,2.337890,204.316570,-358.869810,500899.937500,,3.156920,
0.016000,0.133300,-0.126890,1.917480,204.316570,-358.869930,500925.250000,1.000000,3.164610,-564.504150
0.018000,0.132020,-0.101260,2.030270,204.316570,-358.870060,500950.531250,,3.173580,
0.020000,0.132020,0.266600,1.896970,204.317120,-358.870120,500975.812500,,3.178710,
0.022000,0.130740,0.296080,1.907230,204.318410,-358.870210,501001.125000,,3.181270,
0.024000,0.130740,0.320430,2.245610,204.319670,-358.870240,501026.406250,1.000000,3.179990,-564.504150
0.026000,0.130740,0.422970,2.030270,204.320760,-358.870240,501051.687500,,3.176150,
0.028000,0.130740,0.543460,1.763670,204.322070,-358.870270,501077.000000,,3.176150,
0.030000,0.130740,0.642150,1.855960,204.323870,-358.870330,501102.281250,,3.177430,
0.032000,0.129460,0.740840,1.476560,204.326310,-358.870360,501127.562500,1.000000,3.183840,-564.504150
