time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.126890,-0.119200,1.691890,204.316090,-360.870090,425993.187500,1.000000,3.119750,-564.504090
0.002000,0.126890,-0.116640,1.794430,204.316090,-360.870240,426018.468750,,3.118470,
0.004000,0.125610,-0.116640,1.835450,204.316100,-360.870360,426043.781250,,3.114620,
0.006000,0.125610,-0.115360,2.040530,204.316100,-360.870450,426069.062500,,3.113340,
0.008000,0.125610,-0.115360,2.225100,204.316090,-360.870540,426094.375000,1.000000,3.115910,-564.504090
0.010000,0.124330,-0.116640,2.122560,204.316090,-360.870670,426119.656250,,3.118470,
0.012000,0.124330,-0.116640,1.907230,204.316090,-360.870790,426144.937500,,3.122310,
0.014000,0.124330,-0.115360,1.784180,204.316090,-360.870880,426170.250000,,3.126160,
0.016000,0.123050,-0.114070,1.702150,204.316090,-360.870970,426195.531250,1.000000,3.133850,-564.504090
0.018000,0.123050,-0.087160,1.784180,204.316090,-360.871060,426220.812500,,3.136410,
0.020000,0.123050,0.280700,1.845700,204.316650,-360.871120,426246.156250,,3.141540,
0.022000,0.121770,0.311460,1.845700,204.317930,-360.871190,426271.437500,,3.142820,
0.024000,0.121770,0.334530,1.804690,204.319200,-360.871190,426296.718750,1.000000,3.140260,-564.504150
0.026000,0.121770,0.430660,1.763670,204.320330,-360.871190,426322.031250,,3.136410,
0.028000,0.120480,0.547300,1.579100,204.321660,-360.871220,426347.312500,,3.137700,
0.030000,0.120480,0.637020,1.979000,204.323490,-360.871280,426372.593750,,3.138980,
0.032000,0.119200,0.731870,1.999510,204.325960,-360.871340,426397.906250,1.000000,3.145390,-564.504150
0.034000,0.119200,0.838260,2.184080,204.329190,-360.871340,426423.218750,,3.149230,
0.036000,0.119200,0.984380,1.866210,204.333280,-360.871370,426448.500000,,3.147950,
0.038000,0.116640,1.145870,1.876460,204.338520,-360.871340,426473.812500,,3.144100,
0.040000,0.117920,1.303530,1.579100,204.345170,-360.871370,426499.093750,1.000000,3.144100,-564.504150
0.042000,0.116640,1.440670,1.814940,204.353520,-360.871370,426524.375000,,3.144100,
0.044000,0.116640,1.563720,1.917480,204.363750,-360.871400,426549.687500,,3.142820,
0.046000,0.115360,1.662410,1.937990,204.376050,-360.871430,426574.968750,,3.145390,
0.048000,0.114070,1.748290,1.640630,204.390560,-360.871460,426600.281250,1.000000,3.149230,-564.504150
0.050000,0.114070,1.818790,1.671390,204.407380,-360.871460,426625.593750,,3.153080,
0.050000,0.114070,1.818790,1.671390,204.407380,-360.871460,426625.593750,,3.153080,
0.052000,0.112790,1.868770,1.558590,204.426590,-360.871490,426650.875000,,3.154360,
0.054000,0.112790,1.889280,1.394530,204.448230,-360.871520,426676.187500,,3.156920,
0.056000,0.111510,1.877750,1.568850,204.472230,-360.871520,426701.468750,1.000000,3.163330,-564.504210
0.058000,0.110230,1.831600,1.907230,204.498430,-360.871550,426726.750000,,3.165890,
0.060000,0.110230,1.768800,2.225100,204.526640,-360.871550,426752.062500,,3.169740,
0.062000,0.108950,1.680360,1.979000,204.556720,-360.871550,426777.343750,,3.173580,
0.064000,0.108950,1.565000,1.804690,204.588460,-360.871550,426802.625000,1.000000,3.177430,-564.504210
0.066000,0.108950,1.452210,1.732910,204.621570,-360.871580,426827.937500,,3.182560,
0.068000,0.110230,1.365050,1.784180,204.655720,-360.871580,426853.218750,,3.187680,
0.070000,0.110230,1.286870,2.040530,204.690730,-360.871580,426878.500000,,3.191530,
0.072000,0.110230,1.224060,2.040530,204.726460,-360.871580,426903.843750,1.000000,3.194090,-564.504210
0.074000,0.111510,1.168950,1.979000,204.762760,-360.871550,426929.125000,,3.195370,
0.076000,0.112790,1.135620,1.702150,204.799380,-360.871550,426954.406250,,3.200500,
0.078000,0.112790,1.099730,1.722660,204.836300,-360.871550,426979.718750,,3.204350,
0.080000,0.115360,1.045900,1.661130,204.873490,-360.871520,427005.000000,1.000000,3.206910,-564.504210
0.082000,0.115360,0.957460,1.691890,204.910950,-360.871520,427030.312500,,3.209470,
0.084000,0.116640,0.835690,1.743160,204.948640,-360.871520,427055.625000,,3.213320,
0.086000,0.119200,0.706240,1.958500,204.986430,-360.871520,427080.906250,,3.214600,
0.088000,0.119200,0.597290,1.937990,205.024200,-360.871520,427106.187500,1.000000,3.219730,-564.504210
0.090000,0.121770,0.526790,1.958500,205.061810,-360.871490,427131.500000,,3.222290,
0.092000,0.123050,0.481930,1.948240,205.099240,-360.871490,427156.781250,,3.226140,
0.094000,0.123050,0.448610,1.773930,205.136520,-360.871490,427182.093750,,3.227420,
0.096000,0.123050,0.442200,1.876460,205.173660,-360.871460,427207.375000,1.000000,3.229980,-564.504210
0.098000,0.124330,0.440920,1.866210,205.210630,-360.871460,427232.656250,,3.232540,
0.100000,0.125610,0.443480,1.835450,205.247560,-360.871460,427257.968750,,3.232540,
0.102000,0.125610,0.442200,1.538090,205.284480,-360.871460,427283.281250,,3.232540,
0.104000,0.126890,0.431950,1.558590,205.321490,-360.871460,427308.562500,1.000000,3.232540,-564.504150
0.106000,0.126890,0.415280,1.773930,205.358570,-360.871460,427333.875000,,3.233830,
0.108000,0.126890,0.406310,1.835450,205.395660,-360.871460,427359.156250,,3.232540,
0.110000,0.126890,0.398620,1.855960,205.432830,-360.871460,427384.468750,,3.233830,
0.112000,0.126890,0.381960,1.517580,205.470080,-360.871460,427409.781250,1.000000,3.235110,-564.504150
0.114000,0.125610,0.374270,1.661130,205.507350,-360.871460,427435.062500,,3.237670,
0.116000,0.124330,0.375550,1.907230,205.544660,-360.871460,427460.343750,,3.238950,
0.118000,0.123050,0.416560,1.743160,205.581830,-360.871460,427485.656250,,3.242800,
0.120000,0.123050,0.485780,2.204590,205.618960,-360.871460,427510.937500,1.000000,3.246640,-564.504150
0.122000,0.120480,0.548580,2.255860,205.656070,-360.871430,427536.218750,,3.249210,
0.124000,0.120480,0.603700,2.112300,205.693270,-360.871430,427561.531250,,3.249210,
0.126000,0.119200,0.635740,1.886720,205.730650,-360.871430,427586.812500,,3.253050,
0.128000,0.119200,0.656250,1.753420,205.768170,-360.871430,427612.093750,1.000000,3.255620,-564.504210
0.130000,0.117920,0.676760,1.712400,205.805830,-360.871430,427637.406250,,3.254330,
0.132000,0.116640,0.708800,1.917480,205.843510,-360.871430,427662.718750,,3.256900,
0.134000,0.116640,0.748540,1.896970,205.881260,-360.871430,427688.000000,,3.259460,
0.136000,0.116640,0.770320,1.958500,205.919070,-360.871430,427713.312500,1.000000,3.262020,-564.504210
0.138000,0.115360,0.788270,1.835450,205.956970,-360.871430,427738.593750,,3.264590,
0.140000,0.114070,0.799800,1.609860,205.994930,-360.871430,427763.906250,,3.267150,
0.142000,0.112790,0.812620,1.753420,206.032940,-360.871400,427789.187500,,3.272280,
0.144000,0.112790,0.817750,1.896970,206.070970,-360.871370,427814.500000,1.000000,3.274840,-564.504210
0.146000,0.112790,0.821590,2.040530,206.109070,-360.871370,427839.781250,,3.281250,
0.148000,0.111510,0.810060,2.163570,206.147290,-360.871370,427865.062500,,3.283810,
0.150000,0.111510,0.788270,1.917480,206.185610,-360.871340,427890.343750,,3.286380,
0.152000,0.111510,0.769040,1.804690,206.223970,-360.871340,427915.687500,1.000000,3.286380,-564.504210
0.154000,0.111510,0.743410,1.743160,206.262330,-360.871340,427940.968750,,3.291500,
0.156000,0.114070,0.712650,1.835450,206.300700,-360.871340,427966.250000,,3.294070,
0.158000,0.115360,0.675480,1.927730,206.339050,-360.871340,427991.562500,,3.295350,
0.160000,0.115360,0.658810,1.927730,206.377270,-360.871340,428016.843750,1.000000,3.299190,-564.504210
0.162000,0.115360,0.676760,1.640630,206.415280,-360.871340,428042.156250,,3.301760,
0.164000,0.116640,0.706240,1.722660,206.453140,-360.871340,428067.468750,,3.304320,
0.166000,0.119200,0.710080,1.445800,206.490970,-360.871310,428092.750000,,3.306880,
0.168000,0.119200,0.681880,1.527830,206.528870,-360.871310,428118.031250,1.000000,3.309450,-564.504210
0.170000,0.120480,0.621640,1.681640,206.566960,-360.871280,428143.343750,,3.310730,
0.172000,0.123050,0.554990,1.968750,206.605120,-360.871280,428168.625000,,3.312010,
0.174000,0.123050,0.510130,2.204590,206.643280,-360.871250,428193.906250,,3.312010,
0.176000,0.124330,0.475520,2.020020,206.681380,-360.871250,428219.218750,1.000000,3.314580,-564.504210
0.178000,0.125610,0.453740,1.835450,206.719380,-360.871250,428244.500000,,3.315860,
0.180000,0.128170,0.434510,1.702150,206.757290,-360.871280,428269.812500,,3.317140,
0.182000,0.128170,0.420410,1.937990,206.795170,-360.871280,428295.125000,,3.318420,
