time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.115360,-0.175600,1.927730,204.316470,-364.868710,23948.898440,1.000000,3.146670,-564.504760
0.002000,0.114070,-0.173030,1.538090,204.316470,-364.868870,23974.193360,,3.142820,
0.004000,0.112790,-0.173030,1.917480,204.316480,-364.868990,23999.492190,,3.138980,
0.006000,0.112790,-0.171750,2.050780,204.316480,-364.869110,24024.785160,,3.131290,
0.008000,0.112790,-0.169190,1.917480,204.316480,-364.869170,24050.082030,1.000000,3.126160,-564.504760
0.010000,0.112790,-0.170470,1.568850,204.316480,-364.869260,24075.382810,,3.121030,
0.012000,0.110230,-0.170470,1.599610,204.316480,-364.869350,24100.671880,,3.121030,
0.014000,0.110230,-0.169190,1.415040,204.316480,-364.869450,24125.978520,,3.122310,
0.016000,0.111510,-0.166630,1.435550,204.316480,-364.869570,24151.273440,1.000000,3.130000,-564.504760
0.018000,0.082030,-0.138430,1.630370,204.316480,-364.869690,24176.570310,,3.137700,
0.020000,-0.274290,0.230710,1.763670,204.317030,-364.869810,24201.869140,,3.145390,
0.022000,-0.231990,0.262760,2.061040,204.318310,-364.869900,24227.167970,,3.151790,
0.024000,-0.151250,0.290950,1.650880,204.319550,-364.869960,24252.462890,1.000000,3.154360,-564.506350
0.026000,-0.171750,0.401180,1.794430,204.320620,-364.869960,24277.753910,,3.147950,
0.028000,-0.207640,0.526790,1.886720,204.321870,-364.870030,24303.044920,,3.150510,
0.030000,-0.206360,0.634460,1.743160,204.323590,-364.870060,24328.339840,,3.153080,
0.032000,-0.208920,0.740840,1.835450,204.325970,-364.870120,24353.636720,1.000000,3.158200,-564.510930
0.034000,-0.258910,0.863890,2.040530,204.329120,-364.870150,24378.925780,,3.159480,
0.036000,-0.329410,1.015140,2.296880,204.333160,-364.870150,24404.224610,,3.155640,
0.038000,-0.376830,1.180480,1.599610,204.338380,-364.870120,24429.527340,,3.150510,
0.040000,-0.405030,1.333010,1.712400,204.345060,-364.870150,24454.820310,1.000000,3.150510,-564.514280
0.042000,-0.429380,1.467590,1.527830,204.353490,-364.870180,24480.115230,,3.149230,
0.044000,-0.472960,1.580380,1.753420,204.363820,-364.870210,24505.416020,,3.145390,
0.046000,-0.524230,1.667540,1.814940,204.376220,-364.870240,24530.710940,,3.151790,
0.048000,-0.571660,1.736760,1.743160,204.390840,-364.870300,24556.009770,1.000000,3.159480,-564.520690
0.048000,-0.571660,1.736760,1.743160,204.390840,-364.870300,24556.009770,1.000000,3.159480,-564.520690
0.050000,-0.585750,1.795720,1.804690,204.407710,-364.870330,24581.304690,,3.162050,
0.052000,-0.594730,1.843140,1.661130,204.426900,-364.870360,24606.605470,,3.169740,
0.054000,-0.598570,1.867490,1.886720,204.448440,-364.870360,24631.896480,,3.174870,
0.056000,-0.593440,1.854680,1.814940,204.472260,-364.870390,24657.185550,1.000000,3.178710,-564.534000
0.058000,-0.576780,1.804690,2.020020,204.498280,-364.870390,24682.478520,,3.183840,
0.060000,-0.544740,1.738040,1.773930,204.526230,-364.870390,24707.779300,,3.186400,
0.062000,-0.508850,1.649600,1.773930,204.555970,-364.870390,24733.076170,,3.187680,
0.064000,-0.475520,1.538090,1.917480,204.587300,-364.870390,24758.367190,1.000000,3.192810,-564.555480
0.066000,-0.447330,1.426570,1.548340,204.619950,-364.870390,24783.662110,,3.195370,
0.068000,-0.434510,1.329160,1.558590,204.653660,-364.870390,24808.960940,,3.196660,
0.070000,-0.422970,1.252260,1.804690,204.688160,-364.870420,24834.259770,,3.201780,
0.072000,-0.417850,1.189450,1.804690,204.723330,-364.870390,24859.552730,1.000000,3.204350,-564.582520
0.074000,-0.422970,1.126650,1.743160,204.758990,-364.870390,24884.857420,,3.208190,
0.076000,-0.419130,1.088200,1.466310,204.794970,-364.870390,24910.156250,,3.213320,
0.078000,-0.428100,1.051030,1.558590,204.831160,-364.870390,24935.455080,,3.214600,
0.080000,-0.426820,1.002320,1.486820,204.867550,-364.870360,24960.746090,1.000000,3.217160,-564.611880
0.082000,-0.434510,0.930540,1.784180,204.904130,-364.870360,24986.037110,,3.222290,
0.084000,-0.430660,0.826720,2.061040,204.940890,-364.870360,25011.333980,,3.223570,
0.086000,-0.433230,0.708800,2.204590,204.977770,-364.870360,25036.626950,,3.224850,
0.088000,-0.439640,0.601140,1.794430,205.014660,-364.870360,25061.919920,1.000000,3.229980,-564.642210
