time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.123050,-0.121770,1.896970,204.316700,-364.868590,440321.218750,1.000000,3.145390,-564.504390
0.002000,0.123050,-0.119200,1.640630,204.316710,-364.868740,440346.531250,,3.140260,
0.004000,0.121770,-0.117920,1.630370,204.316710,-364.868870,440371.812500,,3.135130,
0.006000,0.123050,-0.116640,1.722660,204.316730,-364.868990,440397.093750,,3.130000,
0.008000,0.121770,-0.114070,2.091800,204.316730,-364.869050,440422.406250,1.000000,3.128720,-564.504390
0.010000,0.121770,-0.111510,2.143070,204.316730,-364.869140,440447.687500,,3.126160,
0.012000,0.120480,-0.111510,2.348140,204.316740,-364.869260,440473.000000,,3.126160,
0.014000,0.120480,-0.108950,1.927730,204.316740,-364.869350,440498.281250,,3.126160,
0.016000,0.119200,-0.107670,1.794430,204.316730,-364.869450,440523.625000,1.000000,3.130000,-564.504390
0.018000,0.117920,-0.082030,1.835450,204.316740,-364.869570,440548.906250,,3.136410,
0.020000,0.119200,0.287110,1.773930,204.317310,-364.869690,440574.218750,,3.142820,
0.022000,0.117920,0.315310,1.999510,204.318600,-364.869780,440599.500000,,3.149230,
0.022000,0.117920,0.315310,1.999510,204.318600,-364.869780,440599.500000,,3.149230,
0.024000,0.116640,0.333250,1.937990,204.319870,-364.869840,440624.781250,1.000000,3.154360,-564.504390
0.026000,0.117920,0.430660,1.866210,204.321010,-364.869870,440650.093750,,3.146670,
0.028000,0.116640,0.547300,1.599610,204.322340,-364.869900,440675.375000,,3.147950,
