time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.188420,-0.110230,1.979000,204.317470,-342.869170,4681650.000000,1.000000,3.176150,-379.502620
0.002000,0.188420,-0.107670,1.691890,204.317470,-342.869380,4681675.500000,,3.171020,
0.004000,0.188420,-0.103820,1.999510,204.317470,-342.869540,4681701.000000,,3.168460,
0.006000,0.188420,-0.101260,2.184080,204.317490,-342.869690,4681726.000000,,3.162050,
0.008000,0.187130,-0.097410,2.122560,204.317500,-342.869780,4681751.500000,1.000000,3.153080,-379.502620
0.010000,0.188420,-0.094850,1.753420,204.317500,-342.869870,4681776.500000,,3.150510,
0.012000,0.187130,-0.092290,1.640630,204.317500,-342.869960,4681802.000000,,3.144100,
0.014000,0.188420,-0.088440,1.671390,204.317500,-342.870060,4681827.000000,,3.144100,
0.016000,0.188420,-0.085880,1.599610,204.317520,-342.870150,4681852.500000,1.000000,3.144100,-379.502620
0.018000,0.189700,-0.058960,1.845700,204.317520,-342.870270,4681878.000000,,3.149230,
0.020000,0.189700,0.310180,1.896970,204.318100,-342.870390,4681903.500000,,3.155640,
0.022000,0.188420,0.337100,2.020020,204.319410,-342.870510,4681928.500000,,3.162050,
0.024000,0.188420,0.348630,1.999510,204.320740,-342.870610,4681953.500000,1.000000,3.162050,-379.502660
0.026000,0.188420,0.434510,1.784180,204.321930,-342.870670,4681979.000000,,3.163330,
0.028000,0.189700,0.542180,1.763670,204.323320,-342.870730,4682004.500000,,3.164610,
0.030000,0.189700,0.631900,1.825200,204.325180,-342.870790,4682029.500000,,3.169740,
0.032000,0.188420,0.722900,1.948240,204.327680,-342.870910,4682055.000000,1.000000,3.182560,-379.502660
0.034000,0.188420,0.835690,2.009770,204.330890,-342.870940,4682080.500000,,3.182560,
0.036000,0.188420,0.972840,2.009770,204.335010,-342.870940,4682105.500000,,3.177430,
0.038000,0.188420,1.125370,1.568850,204.340260,-342.870910,4682130.500000,,3.173580,
0.040000,0.187130,1.275330,1.476560,204.346950,-342.870940,4682156.000000,1.000000,3.171020,-379.502660
0.042000,0.189700,1.406070,1.743160,204.355300,-342.870970,4682181.500000,,3.168460,
0.044000,0.188420,1.525270,1.753420,204.365540,-342.871000,4682207.000000,,3.167180,
0.046000,0.188420,1.611150,1.722660,204.377820,-342.871030,4682232.000000,,3.168460,
0.048000,0.189700,1.663700,1.814940,204.392240,-342.871060,4682257.000000,1.000000,3.176150,-379.502660
0.050000,0.187130,1.693180,1.691890,204.408800,-342.871120,4682282.500000,,3.178710,
0.052000,0.188420,1.704710,1.958500,204.427460,-342.871150,4682308.000000,,3.186400,
0.054000,0.185850,1.693180,2.081540,204.448180,-342.871190,4682333.000000,,3.191530,
0.056000,0.184570,1.647030,2.061040,204.470860,-342.871220,4682358.500000,1.000000,3.197940,-379.502660
0.058000,0.184570,1.576540,1.999510,204.495290,-342.871220,4682384.000000,,3.203060,
0.060000,0.183290,1.493230,1.968750,204.521270,-342.871220,4682409.000000,,3.204350,
